,Name,Longitude,Latitude,CO2 (mg C m¯² d¯¹),CH4 (mg C m-2 d-1),CO2 (g/kWh),CH4 (g/kWh),Area / Electricity,Area,Age,Erosion,Tmax,Tmean,Tmin,Volume,Volume / Area,orgC,NPP
134,Tres Marias,-45.25,-18.23333333,272.7,19,178.3656203,4.519047619,0.488721805,1040,45,0.781941858,30.8,22.8,12.2,21,0.020192308,1.383999944,730.4796753
135,Tucurui,-49.6,-3.916666667,NA,75,NA,3.936419033,0.107847097,2430,13,141.4003494,33.4,27.2,21.5,46,0.018930041,1.430999994,29.95298468
136,Tucurui,-49.6,-3.916666667,NA,40,NA,2.099423484,0.107847097,2430,22,141.4003494,33.4,27.2,21.5,46,0.018930041,1.430999994,29.95298468
137,Tucurui,-49.6,-3.916666667,NA,98,NA,5.143587536,0.107847097,2430,15,141.4003494,33.4,27.2,21.5,46,0.018930041,1.430999994,29.95298468
138,Tucurui,-49.6,-3.916666667,2181.8,12.7,314.9108983,0.666566956,0.107847097,2430,15,141.4003494,33.4,27.2,21.5,46,0.018930041,1.430999994,29.95298468
139,Tucurui,-49.6,-3.916666667,2845.4,NA,410.6918462,NA,0.107847097,2430,22,141.4003494,33.4,27.2,21.5,46,0.018930041,1.430999994,29.95298468
140,Ume,20.11666667,63.81666667,12.3,NA,NA,NA,NA,360,70,0.037369346,20.5,2.5,-14.1,NA,NA,5.790299892,521.7736816
141,Upper Salmon,-56.5,48.3,524.5,NA,405.8811472,NA,0.578214651,130,20,0.286364568,20.6,3.5,-12.4,NA,NA,5.902999878,22.18935881
142,Upper Salmon (Long Pond),-56.5,48.58333333,519.8,NA,NA,NA,NA,130,33,0.244614654,21,3.1,-13.3,NA,NA,5.268000126,563.1541138
143,Wallula,-119.1666667,45.91666667,-95.2,84,NA,NA,NA,157,50,1.356446245,31.4,11.6,-2.8,0.2,0.001273885,0.560000002,188.4029999
