LONG_DD,LAT_DD,pres_co2,ssp126_co2,ssp585_co2,ssp126_minus_pres_co2,ssp585_minus_pres_co2,pres_ch4,ssp126_ch4,ssp585_ch4,ssp126_minus_pres_ch4,ssp585_minus_pres_ch4
-108.273317,37.399487,31.47150039,50.61064612,53.3114924,19.13914572,21.83999201,9.378731808,9.680476929,13.20000362,0.301745121,3.821271814
-95.232292,35.870603,144.5621931,229.3479984,233.6969057,84.78580533,89.13471263,11.61999942,12.44022002,13.15530745,0.820220604,1.535308038
-85.954417,42.562597,224.492669,222.3856685,221.5585595,-2.107000447,-2.934109412,1.571480446,1.499441463,1.491500712,-0.072038983,-0.079979735
-83.876792,35.376048,121.3889276,119.1644583,115.3248544,-2.224469303,-6.06407323,1.118582041,1.206634526,3.341766039,0.088052486,2.223183998
-120.651504,39.449205,135.5818915,140.0098323,167.0804341,4.427940781,31.49854254,2.590830877,2.712181374,2.868596768,0.121350496,0.277765891
-75.050668,43.899439,139.3120823,140.5364017,226.8447268,1.22431935,87.53264447,4.236931452,4.228547242,4.215823406,-0.00838421,-0.021108046
-91.126128,45.224486,96.49541224,132.7497516,135.5984966,36.25433938,39.10308437,6.066527815,6.978026839,7.102049179,0.911499024,1.035521364
-84.703916,37.784284,182.532983,224.5221124,152.2067725,41.98912938,-30.32621054,1.795207348,1.860432371,1.998340317,0.065225023,0.20313297
-80.702952,34.336709,208.9305056,209.6026176,126.6577779,0.672112006,-82.2727277,4.033686758,4.070965992,5.353471539,0.037279234,1.319784782
-121.989195,40.848975,348.0858664,437.4299719,441.1390997,89.34410553,93.05323328,36.54147564,37.57808906,53.29388366,1.036613425,16.75240802
-86.130551,41.667574,420.7844484,409.254974,399.9792063,-11.52947444,-20.80524215,1.831534256,1.756302894,1.702543246,-0.075231361,-0.12899101
-83.352742,34.715414,141.916832,140.504068,137.3623913,-1.412764095,-4.554440732,12.37628794,13.03481173,22.16880796,0.658523794,9.792520019
-83.519998,45.10299,591.8695147,593.7611216,478.3404995,1.891606886,-113.5290152,2.45428366,2.22529787,1.955083404,-0.22898579,-0.499200256
-92.895327,34.427549,144.2265779,146.4734686,145.2248534,2.246890762,0.99827548,7.875546031,7.952790585,10.30735815,0.077244554,2.431812121
-81.219554,34.051852,178.8518456,176.0341713,163.2253992,-2.817674316,-15.62644641,19.74520891,37.31545357,39.51134851,17.57024467,19.7661396
-94.778828,35.346223,251.4323104,253.7968303,254.9293065,2.364519929,3.496996162,26.64197417,27.95844382,28.95250646,1.316469653,2.310532285
-68.325187,46.557489,149.4327886,142.6495784,107.4206142,-6.783210179,-42.01217439,3.483465835,3.24871176,3.044265311,-0.234754074,-0.439200523
